X	Y	Z	RotX	RotY	RotZ	XDt	YDt	ZDt	RotXDt	RotYDt	RotZDt
-0.059102	-0.24191	0.19235	-0.34351	0.23796	0.052292	-0.0052526	-0.0074887	0.019018	-0.0019703	0.0019318	-0.00011126
-0.058896	-0.25612	0.21533	-0.36011	0.24579	0.052204	0.00020595	-0.01421	0.02298	-0.016603	0.00783	-8.7723e-05
-0.057361	-0.26268	0.21518	-0.34728	0.24066	0.050857	0.001535	-0.0065617	-0.00015352	0.01283	-0.0051278	-0.0013474
-0.058048	-0.28421	0.21786	-0.35083	0.23744	0.048245	-0.00068714	-0.02153	0.0026773	-0.0035492	-0.0032154	-0.002612
-0.058323	-0.27359	0.20835	-0.36829	0.23965	0.051525	-0.00027491	0.010624	-0.0095048	-0.017466	0.0022091	0.0032799
-0.058024	-0.27453	0.17736	-0.28151	0.2037	0.049237	0.00029881	-0.00094912	-0.030993	0.086782	-0.035957	-0.0022875
-0.057039	-0.29225	0.17383	-0.34325	0.21652	0.057222	0.00098485	-0.017719	-0.0035333	-0.061736	0.012822	0.0079847
-0.059665	-0.26948	0.17627	-0.32817	0.21608	0.04532	-0.0026258	0.022772	0.0024464	0.015073	-0.00043969	-0.011902
-0.045624	-0.3282	0.20038	-0.49322	0.27501	0.057376	0.014041	-0.058721	0.02411	-0.16504	0.058936	0.012056
-0.048934	-0.31012	0.22122	-0.6331	0.31895	0.044182	-0.0033093	0.018084	0.020842	-0.13988	0.043941	-0.013194
-0.014903	-0.38417	0.24621	-0.66889	0.33884	0.066672	0.034031	-0.074053	0.024984	-0.035793	0.019891	0.022491
-0.030349	-0.35779	0.23132	-0.68545	0.32243	0.052346	-0.015447	0.026382	-0.01489	-0.016559	-0.016413	-0.014326
-0.019093	-0.34446	0.22993	-0.55332	0.2884	0.055362	0.011257	0.013332	-0.0013908	0.13213	-0.034031	0.0030153
0.034791	-0.34413	0.20854	-0.49399	0.31083	0.10429	0.053884	0.00033235	-0.021382	0.059322	0.022432	0.04893
0.038613	-0.31677	0.20678	-0.47733	0.30912	0.10109	0.0038219	0.02736	-0.0017655	0.016668	-0.0017106	-0.0032015
0.051199	-0.35672	0.2391	-0.51848	0.34481	0.12675	0.012586	-0.03995	0.032321	-0.041153	0.03569	0.02566
0.017467	-0.3746	0.25467	-0.59758	0.34171	0.094729	-0.033732	-0.017886	0.015575	-0.079099	-0.0031	-0.032021
-0.10647	-0.362	0.25463	-0.61451	0.20725	-0.051709	-0.12394	0.012599	-4.5828e-05	-0.016928	-0.13446	-0.14644
